Gender,SeasonFav,Handwritting,Year,College,Domestic,FromMinnesota,OnCampus,Shower,Movie.Number,BarberSalon.Money,Donation,SocialMediaFav,SocialMediaHours,ExerciseHours,StudyHours,Sleep.Weekday,SleepWeekend,MarijuanaLegal,GPAHighSchool,GPACollege,Tattoos,Ticket.Driving,Text.Driving,Chocolate
Male,Spring,Left,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",International,No,No,Depends,1,40,0,Others,0.5,1,3,8,10,No,3.8,3.5,0,1,No,30
Male,Fall,Left,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,0,24,10,Twitter,0,2,10,7.5,7,No,3.921,3.646,0,1,No,48
Female,Fall,Right,Freshman,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,No,Yes,Depends,1,60,50,TikTok,4,1.5,3,7,8,Yes,3.8,3.8,0,0,No,24
Male,Fall,Right,Junior,College of Liberal Arts (CLA),U.S.,No,No,Depends,0,35,0,YouTube,1,1,6,7,9,Yes,2.1,3.8,0,1,No,45
Male,Spring,Right,Junior,College of Liberal Arts (CLA),U.S.,Yes,No,Depends,1,20,100,Others,1.5,1.5,3,7,7,Yes,3.6,3.5,2,2,No,36
Male,Spring,Right,Junior,College of Liberal Arts (CLA),U.S.,Yes,No,Evening,1,45,0,YouTube,4,1,4,7,8,Not sure,2.5,2.7,0,2,Yes,46
Female,Summer,Left,Freshman,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,Evening,1,150,100,Instagram,2,2,6,9,7,Yes,3.9,3.5,0,1,No,40
Male,Fall,Right,Sophomore,College of Liberal Arts (CLA),U.S.,No,Yes,Evening,0,12,0,Instagram,2,2,5,7,10,Not sure,3,3.2,0,0,No,90
Female,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,No,Depends,2,100,0,Instagram,7,3,5,7,8,Not sure,3.9,3.8,0,-1,No,35
Male,Summer,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,No,Depends,0,57,0,YouTube,3,2,4,8,9,Yes,3.8,3.7,5,2,No,41
Female,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Evening,0,50,100,TikTok,4,2,4,6,8,No,3.98,3.7,0,-1,No,80
Female,Fall,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,Depends,1,0,15,TikTok,3,0,2,7,9,Yes,3.6,3.6,0,0,No,52
Male,Summer,Right,Sophomore,College of Liberal Arts (CLA),U.S.,No,No,Depends,3,15,100,Twitter,4,2,8,8,10,Not sure,3.3,2.3,0,-1,No,33
Female,Fall,Right,Sophomore,Others,U.S.,Yes,Yes,Evening,0,140,5,Instagram,4,1,3,8,9,Not sure,3.5,3.3,1,0,No,80
Female,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Depends,0,60,0,TikTok,5,1,5,7,9,Yes,3.987,3.85,2,1,Yes,54
